                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91435,                 2.7732,                 1.4676,                0.47813,                0.33598,                0.36057,                0.14117,                 1.8681,                 3.5655,                 2.4266,             0.00036472,             0.00036472,             0.00036472
                      2,                0.83738,                 1.6849,                 1.4044,                0.59504,                0.59494,                0.64105,                0.40719,                 1.1277,                 1.6823,                 1.9237,             0.00072778,             0.00072778,             0.00072778
                      3,                 0.8371,                 1.4441,                 1.3806,                0.52655,                0.47181,                0.38993,                0.23698,                 1.3183,                 2.6946,                 2.1113,              0.0010835,              0.0010835,              0.0010835
                      4,                0.83476,                 1.3221,                 1.3737,                0.70399,                0.67778,                0.73856,                0.38774,                 1.3253,                 1.7752,                 1.9969,               0.001078,               0.001078,               0.001078
                      5,                0.82453,                 1.1877,                 1.3776,                0.75915,                0.70709,                0.75889,                0.47859,                  1.163,                 1.4061,                 2.1031,               0.001067,               0.001067,               0.001067
                      6,                0.78622,                 1.0913,                 1.3325,                0.73827,                0.73522,                0.79346,                0.54704,                 1.0352,                  1.225,                  1.657,               0.001056,               0.001056,               0.001056
                      7,                0.76961,                 1.0015,                 1.3234,                0.64439,                0.81445,                0.80657,                0.56511,                0.96495,                 1.3364,                 1.5246,               0.001045,               0.001045,               0.001045
                      8,                0.75588,                0.92363,                 1.3095,                0.80462,                0.84265,                0.86804,                0.62997,                0.96325,                0.84647,                 1.6243,               0.001034,               0.001034,               0.001034
                      9,                0.73638,                0.90948,                 1.2993,                0.79675,                0.82076,                 0.8877,                0.71265,                0.76832,                0.85206,                 1.3353,               0.001023,               0.001023,               0.001023
                     10,                 0.7238,                0.88831,                 1.2896,                0.73101,                0.73124,                0.79516,                0.58055,                0.88361,                 1.2222,                 1.5216,               0.001012,               0.001012,               0.001012
                     11,                0.70088,                0.82004,                 1.2704,                0.83369,                0.76012,                0.84395,                0.63114,                0.80097,                 1.0414,                  1.359,               0.001001,               0.001001,               0.001001
                     12,                0.69445,                 0.8091,                  1.272,                0.86118,                0.85492,                0.93083,                0.75498,                0.75852,                0.70314,                 1.3522,             0.00099001,             0.00099001,             0.00099001
                     13,                0.70481,                0.78276,                 1.2709,                0.90059,                0.91666,                0.94305,                0.74351,                0.74724,                0.58754,                 1.3116,             0.00097901,             0.00097901,             0.00097901
                     14,                0.66465,                0.75169,                 1.2458,                0.87359,                0.93776,                0.94687,                0.73003,                0.88594,                0.66431,                 1.4605,             0.00096801,             0.00096801,             0.00096801
                     15,                0.66896,                 0.7541,                 1.2414,                0.85582,                  0.875,                0.93481,                0.71314,                0.79107,                0.72631,                 1.3857,             0.00095702,             0.00095702,             0.00095702
                     16,                0.64823,                0.72264,                 1.2298,                0.89945,                0.90491,                0.94059,                0.74256,                0.76098,                0.61036,                 1.3618,             0.00094602,             0.00094602,             0.00094602
                     17,                0.64992,                 0.6973,                 1.2334,                 0.7168,                0.79689,                0.84582,                 0.6358,                0.88183,                0.89437,                  1.456,             0.00093502,             0.00093502,             0.00093502
                     18,                0.63319,                0.67584,                 1.2171,                0.85614,                0.92135,                0.94307,                0.78868,                0.61101,                0.62339,                 1.1725,             0.00092402,             0.00092402,             0.00092402
                     19,                0.63637,                0.66412,                 1.2188,                0.90811,                 0.8899,                0.94429,                0.79599,                0.67216,                0.55497,                 1.2118,             0.00091302,             0.00091302,             0.00091302
                     20,                0.64186,                0.65865,                 1.2176,                0.94541,                0.96011,                0.97333,                0.82421,                0.62851,                0.44962,                 1.1821,             0.00090202,             0.00090202,             0.00090202
                     21,                0.60998,                0.63926,                 1.1902,                0.90774,                 0.9654,                0.96485,                0.80812,                0.64651,                0.55236,                 1.1791,             0.00089102,             0.00089102,             0.00089102
                     22,                0.60948,                0.64056,                 1.1959,                0.92403,                0.98768,                0.97572,                0.82035,                0.71135,                0.49268,                  1.242,             0.00088002,             0.00088002,             0.00088002
                     23,                0.62198,                0.63728,                 1.1944,                0.93773,                0.98345,                0.97997,                 0.8505,                0.57038,                0.41548,                  1.097,             0.00086902,             0.00086902,             0.00086902
                     24,                0.59251,                0.60809,                 1.1767,                 0.8644,                   0.95,                0.93876,                0.75644,                0.66867,                0.58477,                 1.2252,             0.00085803,             0.00085803,             0.00085803
                     25,                0.60232,                0.60118,                 1.1875,                0.94206,                0.97733,                0.97761,                0.84789,                0.55865,                0.41478,                 1.1099,             0.00084703,             0.00084703,             0.00084703
                     26,                0.57489,                0.58313,                 1.1748,                0.96574,                0.95974,                0.98243,                0.83889,                0.59055,                0.40034,                   1.11,             0.00083603,             0.00083603,             0.00083603
                     27,                0.58504,                0.58244,                 1.1749,                0.93863,                0.94687,                0.97664,                0.85456,                0.58749,                0.39497,                 1.1201,             0.00082503,             0.00082503,             0.00082503
                     28,                0.56698,                0.55643,                 1.1627,                0.92269,                   0.91,                0.96925,                0.83137,                0.59199,                0.46032,                 1.1414,             0.00081403,             0.00081403,             0.00081403
                     29,                0.58889,                0.58569,                 1.1825,                0.95208,                0.97078,                0.97541,                0.82832,                0.63087,                0.42048,                 1.1633,             0.00080303,             0.00080303,             0.00080303
                     30,                0.56588,                 0.5585,                 1.1589,                0.92738,                0.95245,                0.96756,                0.84611,                0.55802,                0.40306,                 1.1096,             0.00079203,             0.00079203,             0.00079203
                     31,                0.55454,                0.54797,                 1.1561,                0.93915,                0.97566,                0.98018,                0.85663,                0.54784,                0.39016,                 1.0853,             0.00078103,             0.00078103,             0.00078103
