                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3245,                 1.9798,                 1.5915,                0.34696,                0.25735,                0.19873,                0.06831,                 2.5527,                 3.2385,                  3.008,             0.00065972,             0.00065972,             0.00065972
                      2,                 1.3687,                 1.6014,                 1.5898,                0.37827,                0.35038,                0.25217,                0.08725,                 2.5806,                  2.507,                 2.8273,              0.0013133,              0.0013133,              0.0013133
                      3,                 1.4122,                 1.5951,                 1.6159,                 0.1597,                0.23925,                0.11855,                0.04429,                 2.5263,                 2.6161,                  3.091,              0.0019536,              0.0019536,              0.0019536
                      4,                 1.3742,                 1.4788,                 1.5789,                0.41105,                0.29018,                0.28533,                0.13009,                 2.1973,                 2.5782,                 2.3773,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3054,                 1.3879,                 1.5445,                0.46593,                0.42634,                0.39329,                0.18442,                 1.9686,                  1.961,                 2.3378,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2909,                 1.3517,                 1.5343,                0.46242,                0.39509,                0.32568,                0.15471,                 2.0082,                  2.092,                 2.3171,               0.001901,               0.001901,               0.001901
                      7,                 1.2426,                 1.3127,                 1.5039,                0.55991,                0.45982,                 0.4417,                0.20817,                   1.83,                 2.1437,                 2.1179,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2195,                 1.2772,                 1.4873,                0.61094,                0.47991,                 0.4597,                0.23205,                 1.7981,                 1.8384,                 2.0994,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1923,                 1.2258,                 1.4707,                0.63541,                0.47098,                0.46906,                0.24752,                 1.7766,                 1.6767,                 2.0588,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1927,                 1.2649,                 1.4734,                0.62781,                0.52712,                0.51368,                0.24618,                 1.7998,                 1.6074,                 2.0627,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.176,                 1.2069,                 1.4664,                0.65337,                0.49554,                0.47907,                 0.2448,                 1.7642,                 1.5974,                 2.0717,               0.001802,               0.001802,               0.001802
                     12,                 1.1452,                 1.1779,                 1.4444,                0.58397,                0.52902,                0.49981,                0.23952,                 1.7431,                 1.6974,                 1.9811,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1598,                 1.1828,                 1.4511,                0.63646,                0.50223,                0.50912,                 0.2629,                 1.6776,                 1.5274,                 1.9325,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1179,                 1.1268,                 1.4253,                0.62357,                0.53795,                0.50624,                0.26487,                  1.639,                 1.5133,                 1.9177,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1365,                 1.1572,                 1.4355,                0.65151,                0.51329,                0.51772,                0.27195,                 1.6678,                 1.5621,                 1.9432,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0939,                 1.0834,                 1.4019,                0.67229,                0.55409,                0.53002,                0.28231,                 1.6153,                 1.5145,                 1.8949,               0.001703,               0.001703,               0.001703
                     17,                 1.1033,                 1.0978,                  1.411,                0.73111,                0.54241,                0.54424,                0.27093,                 1.6711,                 1.4505,                 1.9749,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.107,                 1.1225,                 1.4152,                0.64492,                0.51562,                0.50808,                0.26397,                 1.6561,                 1.5072,                  1.932,              0.0016634,              0.0016634,              0.0016634
